,Round,Cycle,MouseID,Gender,Donor,ASD_diagnosis,OFT_Distance,OFT_velocity,OFT_LrgCntr_freq,OFT_LrgCntr_duration,OFT_LrgCntr_latency,OFT_SmlCntr_freq,OFT_SmlCntr_duration,OFT_SmlCntr_latency,OFT_Movement,MB_visible,MB_buried,MB_percentBuried,DSI_Agrsn_freq,DSI_Agrsn_duration,DSI_Social_freq,DSI_Social_duration,DSI_Groom_freq,DSI_Groom_Duration,SI_Habit_Social,SI_Habit_Cntr,SI_Habit_NonSocial,SI_Sociability_Social,SI_Sociability_Cntr,SI_Sociability_NonSocial,Unnamed: 30,Unnamed: 31,Unnamed: 32,USV_freq,USV_Duration,DSI_USV_median,DSI_USV_StdDev,DSI_USV_Freq,DSI_USV_Duration,DSI_USV_Slbl_num,DSI_USV_Slbl_Duration,DSI_USV_Slbl_Gap_Length,DSI_USV_Slbl_Bout_freq,DSI_USV_Slbl_Bout_gap,DSI_USV_Slbl_SlblPerBout,Unnamed: 45,SI_index
666,10.0,3.0,35.0,Female,C4,NT,4974.22,8.42008,138.0,82.7161,7.507510000000001,63.0,147.014,7.674339999999999,58.0771,19.0,1.0,5.0,0.0,0.0,11.0,15.11,3.0,6.04,102.836,179.98,293.46,235.002,79.0457,218.986,,,,,,0.0062,0.013019999999999999,77.0,0.4778,42.0,5.0,3170.0,26.0,501.0,2.0,,1.7639232755050784
667,10.0,3.0,36.0,Female,C4,NT,5331.41,8.9559,150.0,81.348,1.9019,61.0,54.5546,17.3507,57.1262,19.0,1.0,5.0,0.0,0.0,12.0,11.89,2.0,6.01,175.24200000000002,174.141,197.331,248.18200000000002,80.4137,189.75599999999997,,,,,,0.00805,0.015369999999999998,71.0,0.5721,53.0,15.0,4601.0,8.0,10000.0,7.0,,6.670578940397959
668,10.0,3.0,37.0,Female,A9-old,ASD,3790.72,6.66557,100.0,88.9556,26.4264,35.0,45.3453,26.6266,46.3716,5.0,15.0,75.0,0.0,0.0,13.0,26.135,7.0,9.285,184.484,229.63,126.994,259.059,93.62700000000001,190.69099999999997,,,,,,0.00774,0.017480000000000002,311.0,2.409,108.0,12.0,2858.0,48.0,158.0,2.0,,7.600667037242914
669,10.0,3.0,38.0,Female,A9-old,ASD,3761.3,6.45256,91.0,63.1298,1.7017,30.0,36.4364,14.7481,46.1213,9.0,11.0,55.0,0.0,0.0,10.0,21.25,5.0,9.25,218.852,144.97799999999998,102.87,290.324,64.0641,155.222,,,,,,,,,,,,,,,,,15.16139747635485
670,10.0,3.0,39.0,Female,A9-old,ASD,3662.99,6.21735,131.0,85.0851,6.17284,35.0,51.3514,6.97364,45.5931,6.0,14.0,70.0,0.0,0.0,7.0,13.815,3.0,11.04,185.21900000000002,190.29,154.321,277.644,73.4067,188.322,,,,,,0.0032600000000000003,0.006529999999999999,67.0,0.219,10.0,4.0,31708.0,9.0,13.0,1.0,,9.584604885334983
671,10.0,3.0,40.0,Female,A9-old,ASD,4409.74,7.523619999999999,116.0,77.6777,3.0697400000000004,45.0,42.4758,6.573239999999999,52.9055,3.0,17.0,85.0,0.0,0.0,14.0,25.95,4.0,7.25,171.83900000000003,158.325,203.704,259.493,48.6153,184.618,,,,,,0.0026899999999999997,0.00648,267.0,0.7205,119.0,14.0,2954.0,37.0,200.0,3.0,,8.429761928887146
672,10.0,3.0,41.0,Female,A17-old,ASD,4301.15,7.36055,103.0,74.975,10.7774,39.0,69.0023,10.9776,50.5783,19.0,1.0,5.0,0.0,0.0,8.0,4.915,2.0,6.84,179.313,181.18099999999998,189.02200000000002,229.396,83.9506,249.11599999999999,,,,,,0.007259999999999999,0.01489,139.0,1.0091,6.0,5.0,53988.0,4.0,1000.0,2.0,,-2.0605543852609713
673,10.0,3.0,42.0,Female,A17-old,ASD,5347.2,9.13606,100.0,60.6273,0.0,38.0,33.3,0.133466,58.9468,10.0,10.0,50.0,0.0,0.0,13.0,27.85,1.0,7.11,213.947,142.876,159.96,242.00900000000001,67.4341,216.38299999999998,,,,,,0.00822,0.015719999999999998,102.0,0.8393,23.0,15.0,14732.0,5.0,19953.0,5.0,,2.7952058500148382
674,10.0,3.0,43.0,Female,A17-old,ASD,3959.21,6.882689999999999,135.0,79.8799,3.4367699999999997,55.0,64.1975,9.30931,49.126999999999995,8.0,12.0,60.0,0.0,0.0,5.0,4.94,3.0,2.775,189.02200000000002,134.735,148.215,240.107,43.2099,247.38099999999997,,,,,,0.0054399999999999995,0.00847,76.0,0.4138,39.0,10.0,7112.0,21.0,200.0,2.0,,-0.7460696468425851
675,10.0,3.0,44.0,Female,A17-old,ASD,5640.62,9.54865,155.0,84.5846,0.7007,65.0,70.8375,0.0,60.2369,16.0,4.0,20.0,0.0,0.0,13.0,16.06,3.0,6.48,151.65200000000002,146.513,163.63,218.752,65.8325,201.635,,,,,,0.00965,0.02247,142.0,1.3705,22.0,12.0,14728.0,13.0,158.0,2.0,,2.0358621936453787
