status	exp	origin	picture	tank2	tank	date	daysPI	Fdensity	Fdensity0	cephL	genL	ES	EES	ES1L	ES2L	eggsES1total	eggsES2total	eggstotal	max_ES
farmed	2	F	F10FL5(1)	210	10	5/8/14	66	7	7	3.228	2.995	1	2	5.57	5.523	82.98860649	79.00	162	82.98860649
farmed	2	F	F11(2)FL1(1)	211	11	5/17/14	75	7	7	3.123	3.101	1	2	8.736	8.178	110.7380282	108.57	219	110.7380282
farmed	2	F	F11FL1(1)	211	11	5/14/14	72	7	7	3.183	3.309	1	2	11.873	11.627	173.925894	173.97	348	173.9700748
farmed	2	F	F11FL2(1)	211	11	5/14/14	72	7	7	3.304	3.318	1	2	8.499	8.496	94.94378378	86.75	182	94.94378378
farmed	2	F	F11FL3(1)	211	11	5/14/14	72	7	7	3.316	3.086	1	2	9.884	9.67	133.4673668	128.72	262	133.4673668
farmed	2	F	F11FL4(1)	211	11	5/14/14	72	7	7	3.315	3.048	1	2	6.963	7.771	79.72900763	87.12	167	87.11883408
farmed	2	F	F11FL5(1)	211	11	5/14/14	72	7	7	3.366	2.891	1	2	7.226	6.906	82.34757835	80.34	163	82.34757835
farmed	2	F	F11FL6(1)	211	11	5/14/14	72	7	7	3.359	3.08	1	2	8.249	8.141	107.323455	101.23	209	107.323455
farmed	2	F	F12(2)FL1(1)	212	12	5/17/14	75	6	6	3.445	3.451	1	2	11.756	11.298	155.5155023	159.64	315	159.6406944
farmed	2	F	F12FL1(1)	212	12	5/13/14	71	6	6	3.231	3.365	1	2	11.123	11.008	186.2703349	164.23	351	186.2703349
farmed	2	F	F12FL2(1)	212	12	5/13/14	71	6	6	3.707	3.55	1	2	11.625	11.707	156.9375	163.30	320	163.3011063
farmed	2	F	F12FL3(1)	212	12	5/13/14	71	6	6	3.275	3.406	1	2	11.917	11.899	160.5301109	176.35	337	176.3540552
farmed	2	F	F12FL4(1)	212	12	5/13/14	71	6	6	3.11	2.417	1	2	8.186	7.853	123.0977444	121.54	245	123.0977444
farmed	2	F	F12FL5(1)	212	12	5/13/14	71	6	6	3.14	3.157	1	2	9.768	9.744	140.0764818	136.66	277	140.0764818
wild	2	S	F13SL1(1)	213	13	5/7/14	65	3	3	3.284	3.199	1	2	11.282	10.756	172.4323144	166.88	339	172.4323144
wild	2	S	F13SL2(1)	213	13	5/7/14	65	3	3	3.284	3.111	1	2	11.684	12.19	168.913672	190.14	359	190.1386482
